연도,시도,회사,세대수,수요가수,보급률
2012,경기,대륜,360162.0,261954.0,72.73227047828478
2012,경기,삼천리,2563364.0,2278232.0,88.87664802969849
2012,경기,서울,614817.0,499921.0,81.31216280616835
2012,경기,예스코,365687.0,249926.0,68.3442397460123
2012,경기,인천,11119.0,3370.0,30.30848097850526
2012,경기,코원ES,699192.0,581729.0,83.20017963592261
2012,경남,경남,843502.0,522294.0,61.91971091947618
2012,경남,경동,102031.0,74616.0,73.13071517479982
2012,경남,지에스이,206276.0,96541.0,46.80185770521049
2012,경북,대성,105069.0,96881.0,92.20702585919727
2012,경북,대성청정,215003.0,44468.0,20.6825021046218
2012,경북,서라벌,155003.0,68484.0,44.18237066379361
2012,경북,영남ES(구미),385698.0,199417.0,51.70288671447609
2012,경북,영남ES(포항),245931.0,160784.0,65.37768723747718
2012,광주,해양,555538.0,523533.0,94.23891794980722
2012,대구,대성,948652.0,775472.0,81.74462289648892
2012,대전,CNCITY,575600.0,530299.0,92.12977762334955
2012,부산,부산,1389526.0,1059273.0,76.23268654202944
2012,서울,귀뚜라미,352104.0,333150.0,94.61693136118872
2012,서울,대륜,588178.0,534284.0,90.83712753622204
2012,서울,서울,1545723.0,1447786.0,93.66400060036632
2012,서울,예스코,956445.0,869667.0,90.9270266455468
2012,서울,코원ES,773502.0,736286.0,95.18863558206702
2012,세종,중부,0.0,0.0,0.0
2012,세종,충청ES,0.0,0.0,0.0
2012,울산,경동,422177.0,364250.0,86.27897777472482
2012,인천,삼천리,374883.0,345980.0,92.29012785322354
2012,인천,인천,711825.0,626835.0,88.06026762195765
2012,전남,MC에너지,159367.0,82836.0,51.9781385104821
2012,전남,대화,101788.0,60389.0,59.32821157700319
2012,전남,전남,243263.0,112676.0,46.31859345646481
2012,전남,해양,138350.0,27160.0,19.63136971449223
2012,전북,군산,151466.0,85460.0,56.4219032654193
2012,전북,전북,411867.0,264578.0,64.23869841477952
2012,전북,전북ES,172735.0,86378.0,50.00607867542768
2012,제주,제주,196524.0,12239.0,6.227738087968899
2012,충남,CNCITY,14017.0,13035.0,92.99422130270386
2012,충남,서해,234389.0,87263.0,37.2299894619628
2012,충남,중부,640617.0,333888.0,52.11975330033389
2012,충북,참빛충북,83795.0,44712.0,53.35879229070947
2012,충북,충청ES,552196.0,312605.0,56.61123948742838
2013,강원,강원,161309.0,103958.0,64.44649709563632
2013,강원,명성,0.0,0.0,0.0
2013,강원,참빛,65456.0,19263.0,29.4289293571254
2013,강원,참빛영동,143238.0,35979.0,25.11833452016923
2013,강원,참빛원주,152167.0,100233.0,65.87039239782607
2013,경기,대륜,362301.0,268660.0,74.15381133367008
2013,경기,삼천리,2596871.0,2337033.0,89.99418916072457
2013,경기,서울,646073.0,527996.0,81.72389188218668
2013,경기,예스코,350718.0,264167.0,75.32176848636226
2013,경기,인천,11199.0,3708.0,33.1100991159925
2013,경기,코원ES,707563.0,603170.0,85.24611942682135
2013,경남,경남,854877.0,547248.0,64.01482318508978
2013,경남,경동,106677.0,79115.0,74.16312794698014
2013,경남,지에스이,227992.0,108311.0,47.50649145584055
2013,경북,대성,107212.0,101413.0,94.59109054956537
2013,경북,대성청정,217454.0,49041.0,22.55235590055828
2013,경북,서라벌,156658.0,73599.0,46.98068403784039
2013,경북,영남ES(구미),391485.0,212330.0,54.23707166302668
2013,경북,영남ES(포항),249189.0,166756.0,66.9194868152286
2013,광주,해양,563599.0,544158.0,96.55056165820024
2013,대구,대성,960265.0,812574.0,84.61976641864484
2013,대전,CNCITY,584877.0,542674.0,92.78429481754284
2013,부산,부산,1404663.0,1121579.0,79.84683870793208
2013,서울,귀뚜라미,351324.0,339724.0,96.69820450638156
2013,서울,대륜,585163.0,535273.0,91.47417044481622
2013,서울,서울,1553371.0,1476904.0,95.07735112860996
2013,서울,예스코,918120.0,884224.0,96.30810787260926
2013,서울,코원ES,774372.0,755394.0,97.549239900203
2013,세종,중부,50045.0,26119.0,52.19102807473273
2013,세종,충청ES,2967.0,1727.0,58.20694304010785
2013,울산,경동,431595.0,379028.0,87.82029448904645
2013,인천,삼천리,381042.0,348416.0,91.43768928359604
2013,인천,인천,726841.0,644011.0,88.60411011486694
2013,전남,MC에너지,160074.0,90361.0,56.44951709834201
2013,전남,대화,103117.0,63282.0,61.36912439268016
2013,전남,전남,246144.0,118381.0,48.09420501820073
2013,전남,해양,175065.0,36851.0,21.04989575300603
2013,전북,군산,153583.0,90774.0,59.10419773021754
2013,전북,전북,415986.0,274589.0,66.00919261705923
2013,전북,전북ES,174005.0,96095.0,55.22542455676561
2013,제주,제주,167548.0,15599.0,9.310167832501731
2013,충남,CNCITY,13954.0,13152.0,94.252544073384
2013,충남,서해,239432.0,98087.0,40.96653747201711
2013,충남,중부,604313.0,336204.0,55.6340836619434
2013,충북,참빛충북,84902.0,49886.0,58.75715530847329
2013,충북,충청ES,559160.0,330598.0,59.12404320766864
2014,강원,강원,205574.0,110957.0,53.97423798729412
2014,강원,명성,0.0,0.0,0.0
2014,강원,참빛,65669.0,20113.0,30.6278457110661
2014,강원,참빛영동,168419.0,39140.0,23.23965823333472
2014,강원,참빛원주,154835.0,104371.0,67.40788581393096
2014,경기,대륜,366092.0,276993.0,75.66212864525856
2014,경기,삼천리,2627967.0,2384926.0,90.75174840475546
2014,경기,서울,666604.0,556227.0,83.44189353799257
2014,경기,예스코,391229.0,270291.0,69.0876698813227
2014,경기,인천,11722.0,4612.0,39.3448217027811
2014,경기,코원ES,717685.0,595921.0,83.03378223036569
2014,경남,경남,897239.0,577022.0,64.31084694267636
2014,경남,경동,113213.0,89783.0,79.30449683340252
2014,경남,지에스이,231475.0,123845.0,53.50253807106598
2014,경북,대성,110880.0,104886.0,94.59415584415584
2014,경북,대성청정,219063.0,54039.0,24.6682461209789
2014,경북,서라벌,157890.0,79095.0,50.0950028500855
2014,경북,영남ES(구미),395880.0,226149.0,57.12564413458624
2014,경북,영남ES(포항),252111.0,172800.0,68.54123778811714
2014,광주,해양,573043.0,571281.0,99.6925187115103
2014,대구,대성,970618.0,849130.0,87.48343838667736
2014,대전,CNCITY,592508.0,553353.0,93.39165040809576
2014,부산,부산,1421648.0,1178096.0,82.86833308948488
2014,서울,귀뚜라미,351950.0,345159.0,98.07046455462424
2014,서울,대륜,580720.0,536189.0,92.3317605730817
2014,서울,서울,1562394.0,1508946.0,96.5790959258676
2014,서울,예스코,921435.0,884175.0,95.9563072815771
2014,서울,코원ES,782547.0,738780.0,94.40710909376688
2014,세종,중부,59770.0,43488.0,72.75890915174837
2014,세종,충청ES,3037.0,1831.0,60.28975963121501
2014,울산,경동,442250.0,394558.0,89.216054267948
2014,인천,삼천리,388730.0,359818.0,92.56244694260798
2014,인천,인천,736467.0,657444.0,89.26998765728811
2014,전남,MC에너지,161870.0,98384.0,60.77963798109595
2014,전남,대화,104852.0,68409.0,65.24339068401174
2014,전남,전남,248747.0,123671.0,49.71758453368282
2014,전남,해양,194216.0,43050.0,22.1660419326935
2014,전북,군산,154616.0,94708.0,61.25368655249134
2014,전북,전북,422322.0,290869.0,68.87375036109887
2014,전북,전북ES,174333.0,97738.0,56.06396952957845
2014,제주,제주,173627.0,17559.0,10.11305845289039
2014,충남,CNCITY,13894.0,13297.0,95.7031812293076
2014,충남,서해,244369.0,105972.0,43.3655660087818
2014,충남,중부,612719.0,357649.0,58.37080292923837
2014,충북,참빛충북,86422.0,53419.0,61.81180717872764
2014,충북,충청ES,569730.0,351770.0,61.74328190546399
2015,강원,강원,208289.0,114429.0,54.93761072356197
2015,강원,명성,0.0,0.0,0.0
2015,강원,참빛,65782.0,21031.0,31.97075187741327
2015,강원,참빛영동,168713.0,38720.0,22.95021723281549
2015,강원,참빛원주,159201.0,109370.0,68.69931721534412
2015,경기,대륜,371936.0,283405.0,76.19724898907339
2015,경기,삼천리,2672657.0,2431893.0,90.99158627538064
2015,경기,서울,685895.0,577171.0,84.14859417257745
2015,경기,예스코,390681.0,291584.0,74.63480435444775
2015,경기,인천,12182.0,5008.0,41.10983418157938
2015,경기,코원ES,735254.0,610531.0,83.03674648488821
2015,경남,경남,910626.0,612657.0,67.27866324923734
2015,경남,경동,117649.0,96436.0,81.96924750741613
2015,경남,지에스이,236009.0,130903.0,55.46525768085115
2015,경북,대성,125575.0,110897.0,88.31136770854071
2015,경북,대성청정,198685.0,57798.0,29.09026851548934
2015,경북,서라벌,159290.0,91724.0,57.58302467198192
2015,경북,영남ES(구미),402579.0,237396.0,58.96879867057149
2015,경북,영남ES(포항),255655.0,176898.0,69.19403101836458
2015,광주,해양,580427.0,555852.0,95.76604809907188
2015,대구,대성,982360.0,891117.0,90.71185716030784
2015,대전,CNCITY,597008.0,561817.0,94.10543912309384
2015,부산,부산,1437818.0,1228270.0,85.42597185457407
2015,서울,귀뚜라미,351400.0,348578.0,99.19692657939667
2015,서울,대륜,576499.0,533163.0,92.48290109783365
2015,서울,서울,1569468.0,1525469.0,97.19656597012492
2015,서울,예스코,915511.0,907480.0,99.1227849801914
2015,서울,코원ES,777070.0,734026.0,94.46073069350253
2015,세종,중부,78743.0,62769.0,79.71375233354075
2015,세종,충청ES,3063.0,1909.0,62.324518445968
2015,울산,경동,451688.0,409472.0,90.65372558048918
2015,인천,삼천리,393267.0,367407.0,93.42431477850926
2015,인천,인천,749485.0,675006.0,90.06264301487022
2015,전남,MC에너지,162500.0,105260.0,64.77538461538461
2015,전남,대화,105297.0,73075.0,69.3989382413554
2015,전남,전남,252293.0,130727.0,51.81554779561858
2015,전남,해양,219192.0,48642.0,22.19150333953794
2015,전북,군산,156059.0,98896.0,63.37090459377544
2015,전북,전북,428387.0,301971.0,70.49023429749269
2015,전북,전북ES,175060.0,101396.0,57.92071289843482
2015,제주,제주,177102.0,20607.0,11.63566758139377
2015,충남,CNCITY,14397.0,14049.0,97.5828297561992
2015,충남,서해,250544.0,116986.0,46.69279647487068
2015,충남,중부,621027.0,380476.0,61.26561325030957
2015,충북,참빛충북,87463.0,55440.0,63.38680356264936
2015,충북,충청ES,582040.0,369583.0,63.4978695622294
2016,강원,강원,210956.0,116348.0,55.15273327139308
2016,강원,명성,20745.0,0.0,0.0
2016,강원,참빛,65972.0,22371.0,33.90984053841024
2016,강원,참빛영동,169396.0,45402.0,26.80228576825899
2016,강원,참빛원주,163419.0,117566.0,71.94145111645524
2016,경기,대륜,377259.0,291716.0,77.32512676967282
2016,경기,삼천리,2726893.0,2501607.0,91.73836303808034
2016,경기,서울,701968.0,601046.0,85.62299136142958
2016,경기,예스코,411730.0,306054.0,74.33366526607243
